Name,Country,Release_date,OTT_name,Genre,Genre2,Link
Inception,United States,07/16/2010,None,Action,Heist,https://flixpatrol.com/title/inception/
Joker,United States,10/02/2019,None,Superhero,DC,https://flixpatrol.com/title/joker-2019/
Knives Out,United States,11/27/2019,None,Crime,Murder,https://flixpatrol.com/title/knives-out/
Tenet,United States,08/22/2020,None,Action,Spies,https://flixpatrol.com/title/tenet/
Interstellar,United States,11/05/2014,None,Science Fiction,Space,https://flixpatrol.com/title/interstellar/
Parasite,South Korea,05/30/2019,None,Drama,Social Issues,https://flixpatrol.com/title/parasite/
The Dark Knight,United States,07/16/2008,None,Superhero,DC,https://flixpatrol.com/title/the-dark-knight/
Mulan,United States,09/04/2020,None,Adventure,Fantasy Adventure,https://flixpatrol.com/title/mulan-2020/
Pulp Fiction,United States,09/10/1994,None,Crime,Gangsters,https://flixpatrol.com/title/pulp-fiction/
Avengers: Endgame,United States,04/24/2019,None,Superhero,Marvel,https://flixpatrol.com/title/avengers-endgame/
Once Upon a Time… in Hollywood,United States,07/24/2019,None,Crime,Crime Comedy,https://flixpatrol.com/title/once-upon-a-time-in-hollywood/
1917,United Kingdom,12/10/2019,None,War,World War I,https://flixpatrol.com/title/1917/
Harry Potter and the Philosopher's Stone,United Kingdom,11/16/2001,None,Fantasy,Wizards,https://flixpatrol.com/title/harry-potter-and-the-philosophers-stone/
Avengers: Infinity War,United States,04/25/2018,None,Superhero,Marvel,https://flixpatrol.com/title/avengers-infinity-war/
The Wolf of Wall Street,United States,12/25/2013,None,Drama,Business,https://flixpatrol.com/title/the-wolf-of-wall-street/
Fight Club,United States,10/14/1999,None,Thriller,Psychological,https://flixpatrol.com/title/fight-club/
Django Unchained,United States,12/25/2012,None,Western,Revenge,https://flixpatrol.com/title/django-unchained/
Enola Holmes,United Kingdom,09/23/2020,Netflix,Adventure,Disapperance,https://flixpatrol.com/title/enola-holmes/
Midsommar,United States,07/03/2019,None,Horror,Psychological horror,https://flixpatrol.com/title/midsommar/
After We Collided,United States,09/02/2020,None,Romance,Cry movie,https://flixpatrol.com/title/after-we-collided/
Jojo Rabbit,United States,10/18/2019,None,Drama,Holocaust,https://flixpatrol.com/title/jojo-rabbit/
The Witches,United States,10/22/2020,HBO,Fantasy,Witch,https://flixpatrol.com/title/the-witches-2020/
The Lord of the Rings: The Fellowship of the Ring,United States,12/19/2001,None,Fantasy,Wizards,https://flixpatrol.com/title/the-lord-of-the-rings-the-fellowship-of-the-ring/
Suicide Squad,United States,08/02/2016,None,Superhero,DC,https://flixpatrol.com/title/suicide-squad/
Birds of Prey,United States,02/05/2020,None,Superhero,DC,https://flixpatrol.com/title/birds-of-prey-2020/
The Old Guard,United States,07/10/2020,Netflix,Action,Independent Comics,https://flixpatrol.com/title/the-old-guard/
The New Mutants,United States,08/27/2020,None,Superhero,Marvel,https://flixpatrol.com/title/the-new-mutants/
Black Panther,United States,02/12/2018,None,Superhero,Marvel,https://flixpatrol.com/title/black-panther/
Greyhound,United States,07/10/2020,Apple,War,World War II,https://flixpatrol.com/title/greyhound/
The Shawshank Redemption,United States,09/23/1994,None,Drama,Prison,https://flixpatrol.com/title/the-shawshank-redemption/
Spider-Man: Into the Spider-Verse,United States,12/07/2018,None,Superhero,Marvel,https://flixpatrol.com/title/spider-man-into-the-spider-verse/
Peninsula,South Korea,08/12/2020,None,Horror,Zombies,https://flixpatrol.com/title/peninsula-2020/
The Invisible Man,United States,02/26/2020,None,Horror,Invisibility,https://flixpatrol.com/title/the-invisible-man-2020/
The Trial of the Chicago 7,United States,10/16/2020,Netflix,Drama,Vietnam War,https://flixpatrol.com/title/the-trial-of-the-chicago-7/
The Lord of the Rings: The Two Towers,United States,12/18/2002,None,Fantasy,Wizards,https://flixpatrol.com/title/the-lord-of-the-rings-the-two-towers/
Ava,United States,07/02/2020,None,Thriller,Spies,https://flixpatrol.com/title/ava-2020/
365 Days,Poland,06/07/2020,None,Romance,sex,https://flixpatrol.com/title/365-days/
The Devil All the Time,United States,09/16/2020,Netflix,Drama,Psychological,https://flixpatrol.com/title/the-devil-all-the-time/
Artemis Fowl,United States,06/12/2020,Disney+,Fantasy,Family,https://flixpatrol.com/title/artemis-fowl/
The Godfather,United States,03/15/1972,None,Drama,Gangsters,https://flixpatrol.com/title/the-godfather/
The Gentlemen,United States,01/01/2020,None,Crime,Gangsters,https://flixpatrol.com/title/the-gentlemen/
Uncut Gems,United States,08/30/2019,Netflix,Crime,Crime Drama,https://flixpatrol.com/title/uncut-gems/
Frozen II,United States,11/20/2019,None,Animated,Princesses,https://flixpatrol.com/title/frozen-ii/
The Lighthouse,Canada,10/18/2019,None,Horror,Psychological horror,https://flixpatrol.com/title/the-lighthouse/
I'm Thinking of Ending Things,United States,09/04/2020,Netflix,Thriller,Psychological,https://flixpatrol.com/title/im-thinking-of-ending-things/
The Shining,United Kingdom,05/22/1980,None,Horror,Psychological horror,https://flixpatrol.com/title/the-shining/
Scoob!,United States,05/14/2020,None,Animated,Dogs,https://flixpatrol.com/title/scoob/
John Wick: Chapter Two,United States,02/10/2017,None,Action,Revenge,https://flixpatrol.com/title/john-wick-chapter-two/
Arrival,United States,11/11/2016,None,Science Fiction,Aliens,https://flixpatrol.com/title/arrival/
Little Women,United States,12/25/2019,None,Drama,Forbidden Love,https://flixpatrol.com/title/little-women-2019/
Frozen,United States,11/27/2013,None,Animated,Princesses,https://flixpatrol.com/title/frozen/
Project Power,United States,08/14/2020,Netflix,Action,Action Crime,https://flixpatrol.com/title/project-power/
Lady Bird,United States,09/08/2017,None,Drama,Coming of Age,https://flixpatrol.com/title/lady-bird/
Bill & Ted Face the Music,United States,08/20/2020,None,Comedy,Time travel,https://flixpatrol.com/title/bill-ted-face-the-music/
Bad Boys for Life,United States,01/15/2020,None,Action,Buddies,https://flixpatrol.com/title/bad-boys-for-life/
Borat Subsequent Moviefilm,United States,10/23/2020,Amazon,Comedy,Satira,https://flixpatrol.com/title/borat-subsequent-moviefilm/
Mad Max: Fury Road,United States,05/15/2015,None,Science Fiction,Postapocalypse,https://flixpatrol.com/title/mad-max-fury-road/
Sonic the Hedgehog,United States,02/13/2020,None,Adventure,For Older Kids,https://flixpatrol.com/title/sonic-the-hedgehog-2020/
The Silence of the Lambs,United States,02/01/1991,None,Horror,Serial killer,https://flixpatrol.com/title/the-silence-of-the-lambs/
Moana,United States,11/23/2016,None,Animated,Princesses,https://flixpatrol.com/title/moana/
Palm Springs,United States,07/10/2020,Hulu,Comedy,Time Loop,https://flixpatrol.com/title/palm-springs/
Back to the Future,United States,07/03/1985,None,Science Fiction,Time travel,https://flixpatrol.com/title/back-to-the-future/
Get Out,United States,02/24/2017,None,Horror,Psychological horror,https://flixpatrol.com/title/get-out/
Star Wars: Episode IV - A New Hope,United States,05/25/1977,None,Science Fiction,Space opera,https://flixpatrol.com/title/star-wars-episode-iv-a-new-hope/
Se7en,United States,09/22/1995,None,Crime,Serial killer,https://flixpatrol.com/title/se7en/
Gone Girl,United States,10/01/2014,None,Thriller,Disapperance,https://flixpatrol.com/title/gone-girl/
The Outpost,United States,11/02/2019,None,War,Afghan War,https://flixpatrol.com/title/the-outpost-2019/
La La Land,United States,12/09/2016,None,Music,Cry movie,https://flixpatrol.com/title/la-la-land/
Spirited Away,Japan,07/20/2001,None,Animated,Anime,https://flixpatrol.com/title/spirited-away/
Hamilton,United States,07/03/2020,Disney+,Music,Musical,https://flixpatrol.com/title/hamilton-2020/
Wonder Woman,United States,05/30/2017,None,Superhero,DC,https://flixpatrol.com/title/wonder-woman/
Hubie Halloween,United States,10/07/2020,Netflix,Comedy,Family,https://flixpatrol.com/title/hubie-halloween/
Greenland,United States,07/29/2020,None,Science Fiction,Disaster,https://flixpatrol.com/title/greenland/
The Avengers,United States,04/25/2012,None,Superhero,Marvel,https://flixpatrol.com/title/the-avengers-2012/
Hereditary,United States,06/04/2018,None,Horror,Demons,https://flixpatrol.com/title/hereditary/
Captain America: Civil War,United States,04/27/2016,None,Superhero,Marvel,https://flixpatrol.com/title/captain-america-civil-war/
Inglourious Basterds,United States,08/21/2009,None,War,World War II,https://flixpatrol.com/title/inglourious-basterds/
Guardians of the Galaxy,United States,08/01/2014,None,Superhero,Marvel,https://flixpatrol.com/title/guardians-of-the-galaxy/
Dune,United States,09/15/2021,None,Science Fiction,Space opera,https://flixpatrol.com/title/dune-2021/
Harry Potter and the Chamber of Secrets,United Kingdom,11/03/2002,None,Fantasy,Wizards,https://flixpatrol.com/title/harry-potter-and-the-chamber-of-secrets/
The Grand Budapest Hotel,United Kingdom,03/07/2014,None,Drama,Dramedy,https://flixpatrol.com/title/the-grand-budapest-hotel/
Portrait of a Lady on Fire,France,09/18/2019,None,Drama,LGBT,https://flixpatrol.com/title/portrait-of-a-lady-on-fire/
